user_id,leaning,label,no_videos,leaning_avg,user_name,authorstats_following,authorstats_followers,authorstats_heart,authorstats_videos,authorstats_diggs,no_of_hashtags,no_of_unique_hashtags
6642493386946609157,0.0,neutral,1,0.0,theemessykat,10.0,2960.0,309200,81.0,1740.0,9,9
6642503880453275653,1.0,pro,1,1.0,shelbyadami,145.0,3.0,431,1.0,7360.0,7,7
6642507278443708421,0.5,pro,1,0.5,hillvili,2108.0,65600.0,1100000,145.0,16800.0,1,1
6642508466743279621,0.0,neutral,1,0.0,loridavie,3.0,1.0,176,1.0,266.0,2,2
6642510215898628101,0.0,neutral,1,0.0,saucykenny,22.0,15820.0,5200000,68.0,951.0,4,4
6642525972589969413,0.5,pro,1,0.5,zokgod,106.0,38200.0,2600000,36.0,1401.0,9,9
6642541836479627269,0.5,pro,1,0.5,looney..tuness,83.0,266.0,25000,170.0,5190.0,2,2
6642555898018086918,0.0,neutral,1,0.0,callmebelly,19.0,36960.0,7400000,70.0,894.0,4,4
6642621296911171589,0.0,neutral,1,0.0,annearun,40.0,4210.0,1300000,15.0,4170.0,1,1
6642637202290196485,0.5,pro,1,0.5,cherrysnott,804.0,1770.0,249800,80.0,2800.0,8,8
6642640357161975813,1.5,pro,1,1.5,dark_disastr,10000.0,1631.0,39000,628.0,58800.0,5,5
6642691739726856198,-1.0,con,1,-1.0,alex_buc,331.0,20600.0,620500,283.0,2716.0,6,6
6642697607683227649,0.0,neutral,1,0.0,lewangll216,136.0,20.0,657,2.0,266.0,1,1
6642700612058480646,1.5,pro,1,1.5,2differentt8,110.0,2812.0,88600,31.0,3953.0,8,8
6642709841594990598,0.5,pro,2,0.25,romeroliveoficial,7.0,100000.0,21700000,23.0,135.0,13,10
6642716590415593477,2.5,pro,1,2.5,reddrath,62.0,179.0,38800,29.0,1280.0,6,6
6642721740546473990,0.0,neutral,1,0.0,dryify,9.0,1440.0,422900,30.0,3980.0,5,5
6642723113535127558,-3.0,con,4,-0.75,shadowbannedddddddd,126.0,6550.0,714200,14.0,3860.0,51,24
6642729153718288389,7.0,pro,2,3.5,mothmothman,82.0,9889.0,614500,57.0,1326.0,20,10
6642732546214887429,0.0,neutral,1,0.0,boredblerd,386.0,288.0,16400,34.0,7630.0,1,1
6642733854094934022,0.5,pro,1,0.5,maximilienmatagne,892.0,11100.0,133500,163.0,3185.0,8,8
6642736176593731589,1.5,pro,1,1.5,cashmoneykaitlyn,897.0,211800.0,3300000,411.0,11900.0,2,2
6642737536207912965,0.0,neutral,1,0.0,darkensoul.com,137.0,1830.0,220200,52.0,654.0,1,1
6642766226182209541,-0.5,con,1,-0.5,freeswaggyboy,150.0,482.0,25600,11.0,2933.0,3,3
6642770558781014022,0.0,neutral,1,0.0,sol.bee,24.0,5750.0,3100000,66.0,1300.0,9,9
6642782924486262790,0.0,neutral,1,0.0,klxverr,2.0,997.0,70900,29.0,349.0,1,1
6642791955439370246,0.0,neutral,1,0.0,lexa_ossur,3.0,1460.0,411600,28.0,1510.0,4,4
6642797859035037701,0.0,neutral,1,0.0,dairemoon,102.0,10630.0,2100000,170.0,8760.0,1,1
6642800667504541701,2.0,pro,4,0.5,sofiahateslife,101.0,17460.0,10000000,57.0,7730.0,17,14
6642801307152695301,0.0,neutral,1,0.0,kendell_chinn,51.0,11.0,460,3.0,134.0,1,1
6642801814574710790,0.5,pro,1,0.5,wendy_sings,480.0,103.0,4948,4.0,2000.0,4,4
6642802327635001350,0.0,neutral,1,0.0,sims4buildandplay,76.0,16.0,1002,5.0,1010.0,1,1
6642804157223862278,2.5,pro,1,2.5,pikachuproduction,33.0,7.0,550,30.0,223.0,4,4
6642816757823324165,-0.5,con,1,-0.5,nicole6139,580.0,82900.0,555800,747.0,1998.0,11,11
6642825134958821381,0.0,neutral,1,0.0,amerie082,130.0,32.0,7662,115.0,1040.0,1,1
6642839216307159046,2.0,pro,1,2.0,.._julesofficial,5433.0,2239.0,10100,59.0,26300.0,7,7
