user_id,tagged_id,co_occurences
154547,6724511517688071174,1
184640,150720527609769984,2
184640,6603801426278547461,1
184640,6613538231022780421,1
184640,6733680085255209990,1
184640,6785359698674615302,1
184640,6810501489330668550,1
186652,6764156219622081541,1
219674,6620896275339919365,1
272854,1451673,1
302124,6767383368042398726,1
370496,6724511517688071174,1
393076,150720527609769984,1
393076,6532055307936366593,1
393076,6740866460645032965,1
393076,6758202106728154117,1
478938,6740866460645032965,1
508850,84983892281008128,1
513451,150720527609769984,1
513451,6684799175513179142,1
513515,6755114752386630662,1
614539,6565337251021570053,1
679213,6614212463507144709,1
679995,6712188080147072005,1
695757,6727332809935717382,1
734683,6782000935764149254,1
743514,135275501509550080,1
835519,6750725126160139269,1
925711,59240913742348288,1
971716,6565170509783334918,1
992965,6565170509783334918,1
1076328,6532035469444644866,1
1077604,6771019914858841094,1
1135326,6712188080147072005,1
1135649,6608238177822113798,1
1190068,200140343550644224,1
1252429,6771019914858841094,1
1259377,6771019914858841094,1
1288311,6532035469444644866,1
1291429,6780384192099435525,1
1300590,6758204901325112326,1
1320163,6767383368042398726,1
1381654,6567536643522822149,1
1431238,150720527609769984,2
1435763,6758204901325112326,1
1436238,6676573689104466949,1
1500161,135275501509550080,1
1539794,6790880414548444166,1
1550154,6776050432911295493,1
1577707,6758204901325112326,1
1588739,59240913742348288,1
1597631,6741884267766891525,1
1606465,280929703060963328,1
1617833,6767383368042398726,1
1684435,6734101501666444294,1
1684435,6810501489330668550,1
1691779,6703126725822104582,1
1771623,6645855783803191302,1
1806913,6532035469444644866,1
1832945,62983038191616000,1
1862736,6712188080147072005,1
1884188,6777802822199002117,1
1909499,150720527609769984,1
1948460,6565170509783334918,1
1948460,6721058732547687429,1
1988075,6740866460645032965,1
1988546,6758202106728154117,1
1990644,6767303484407022597,1
1995927,6771019914858841094,1
2009324,6573517053457514502,1
2016966,6760790946654323717,1
2016966,6764004751870084101,1
2031071,6715956570364314630,1
2068506,2068506,3
2068506,6764156219622081541,1
2093890,6790323497484616709,1
2114082,6532025495972741122,1
2146021,6688659357297853446,1
2151900,6623905785242206214,1
2189434,6736239741345465350,1
2222076,3544451,1
2309179,6806227639053861893,1
2357514,135275501509550080,1
2357514,6567536643522822149,1
2357514,6684799175513179142,1
2357514,6815462193996891142,1
2378175,4653183,1
2420180,6684799175513179142,1
2437815,6717555886154679302,1
2502726,6684799175513179142,1
2509879,59240913742348288,1
2561857,135275501509550080,1
2620098,6647247944565473285,1
2630137,6758202106728154117,1
2630137,6786838485119632389,1
2649662,10750266,1
2656576,6762685598013998086,1
2672109,6565170509783334918,1
2673267,6684799175513179142,1
2711703,6246175,1
2715583,6714078681567134725,1
2733957,150720527609769984,1
2762838,316877939743313920,1
2762838,6688659357297853446,1
2780013,59240913742348288,1
2786936,9824579,1
2793346,6771019914858841094,1
2800964,6528492061698561039,2
2800964,6778188406767748102,2
2800964,6837204643493381125,2
2824120,6678659856738403333,1
2824120,6811872575482233862,1
2829914,6764156219622081541,1
2829914,6820464500909016069,1
2846790,6793847980245304322,1
2861351,9824579,1
2889929,4653183,1
2891046,6565170509783334918,1
2901366,6812426953968403461,1
2931275,6684799175513179142,1
2949180,4653183,1
2949180,6584562603291820037,1
2949180,6623905785242206214,1
2949180,66899463306268672,1
2961785,135275501509550080,1
2967892,6604555333136842757,1
2974385,6750725126160139269,1
2990455,6832512635276248070,1
2994166,2931275,1
3012486,6771019914858841094,1
3040839,23141848,1
3040839,6583009024073465862,1
3041956,6688659357297853446,1
3041956,6755114752386630662,1
3041956,6786838485119632389,1
3063409,6843249236223198213,1
3108663,6810096888558650373,1
3111408,6640961877399404550,1
3122581,6724769159195247622,1
3124775,6740866460645032965,2
3139578,9824579,1
3164286,6673593769915646981,1
3176108,6764156219622081541,1
3209953,6671983396951195654,1
3261504,3261504,2
3296023,6565170509783334918,1
3344006,6565170509783334918,1
3363920,107955,1
3363920,6754417400751965190,2
3363920,6811302627608413189,2
3394896,6573517053457514502,1
3403570,6576245549106757638,1
3441482,6750725126160139269,1
3442648,6780384192099435525,1
3443583,6564034313321791493,1
3451032,6798375291578074117,1
3528358,53802956789129216,1
3537176,6565170509783334918,1
3545799,316877939743313920,1
3557365,6767383368042398726,1
3617514,6611837737036644357,1
3617514,6712188080147072005,1
3621021,6614212463507144709,2
3621021,6663690761764782086,1
3665686,6623905785242206214,1
3718024,6832512635276248070,1
3719898,6750725126160139269,1
3731242,6724511517688071174,1
3759608,6812105672144438277,1
3791724,6786300552517108741,1
3814465,4653183,1
3814465,6771019914858841094,1
3817329,6750725126160139269,1
3831091,6611562427757494278,1
3842686,6585117778910167045,1
3842686,6833592822970467333,1
3850422,6832512635276248070,1
3889084,6710030448099214341,1
3916017,6715147246696006661,2
3924518,135275501509550080,1
3926326,6741884267766891525,1
3929026,6717627233370801157,1
4040876,6764156219622081541,1
4068762,135275501509550080,1
4095059,6532028048034758657,1
4095059,6770478743905190918,1
4118335,6809475785499509766,1
4136290,6786838485119632389,1
4136290,6812105672144438277,1
4138732,6684799175513179142,1
4206899,135275501509550080,1
4206921,6565170509783334918,1
4206986,6771019914858841094,1
4210742,6775737471952700422,1
4245524,15769008,1
4258265,6565170509783334918,1
4267734,6673593769915646981,1
4277732,6684799175513179142,1
4284643,150720527609769984,1
4299736,6620896275339919365,1
4325222,6811637980043297798,1
4350306,6798175691658806278,1
4393813,59240913742348288,1
4452237,6731413361000694790,1
4485058,6724511517688071174,1
4520482,6797231960546214917,1
4582056,6740866460645032965,1
4632655,6812105672144438277,1
4657971,6771559338248487942,1
4706166,4653183,1
4746935,6620896275339919365,1
4771160,6758204901325112326,1
4803656,6712188080147072005,1
4816836,6650261079082844165,1
4841560,6638648214726803461,1
4841695,6829140987483816965,2
4855799,6724511517688071174,1
4855799,6755114752386630662,1
4856855,6771019914858841094,1
4900717,6646961473934163973,1
4900717,6653478915832725510,2
4900717,6660694705744969733,1
4900717,6672881507222619142,1
4900717,6717790806101885958,1
4900717,6724041176393876486,1
4900717,6725136751256912901,1
4900717,6734077238692365317,1
4900717,6761797290338829318,1
4912249,136406641163374592,1
4921326,6611837737036644357,1
4976539,59240913742348288,1
