video_id,nr_hashtags
6847589178792807685,3
6841218359292431621,1
6849535754964716805,3
6850602455420488966,1
6844638328000761093,5
6849891938926120197,8
6845628486472846598,3
6849213767352438022,6
6844873452424269061,7
6844767860431129861,6
6850641755767950597,1
6850508457129397509,5
6849481895953108230,6
6847586994244078853,5
6850548373456571653,6
6849325476956163334,4
6851721502992125189,4
6849615672192847110,3
6849824062596795653,1
6844868425349614853,9
6849916555631938822,12
6849489030921407749,4
6850278045362736389,6
6850650212453715206,1
6844976441432591621,2
6850432462527499526,1
6849730427180043525,2
6845646559758060805,7
6844899706041158918,8
6850937309609741573,1
6849942496039013638,5
6850760288778734854,6
6850417329818373381,1
6839311887746878726,3
6850608826727681285,4
6849370744896474373,7
6846541604442934534,1
6850074229853998342,1
6847627645182545157,3
6846962949639212293,13
6850059451072826630,4
6844971348129844485,3
6861807338874014981,2
6849031903295589638,1
6847635417479646469,1
6844846317458558214,1
6850871514720390405,4
6844645595634830598,4
6848280629688274181,2
6841181225244183813,1
6835345214534618373,2
6855757514118597894,1
6856878450507091206,11
6851773452496555270,8
6857659269865622790,1
6838627167983766790,2
6842150166817033477,11
6857560303962475781,1
6839752996331588870,13
6859752644043377925,7
6855798389930577158,7
6865260507918585094,2
6890597796227927301,7
6841799284908723462,8
6849801299190467845,10
6860973150465838341,5
6889904505379425542,1
6840456382790028550,1
6858418969313905925,7
6859469465596333318,3
6866066026178579717,1
6869637389866880261,9
6850846657110756613,13
6860225701589568774,7
6857317605837901062,5
6862044647259114757,1
6889694460293221638,4
6873934731302538502,6
6861995953428122886,6
6863168655337835782,7
6840010353988865285,2
6859871199120329989,1
6862479904269667590,5
6851246325288275206,7
6856114154546154757,7
6866928036890152198,1
6876582917699685638,7
6861784490402958598,7
6861077866558328070,4
6856192375623044358,1
6869541728718687493,6
6862315082836167942,1
6856279537509092613,10
6856862401569066245,2
6858305954350501126,1
6860719395887451398,1
6843038900026461445,1
6857770512471313669,1
6859103788943297797,4
6860598441379122438,1
6864606746271304966,1
6848387555671411973,2
6860857605682760965,10
6865091732451740933,7
6861098006171733253,2
6859853315396701445,7
6890734931601919237,1
6858785779984911621,10
6853161229154913542,6
6863118465352420614,7
6857242356098338053,4
6858289261909757189,1
6855878653180448005,1
6849164986644712709,1
6849047645709749510,4
6863115386427034885,13
6858471961333402885,6
6858692050385177861,7
6838976983326657797,2
6840284136230456581,1
6840896600689102086,2
6865018908634598662,1
6859915326147120389,3
6860837047586868486,1
6856763384151411974,5
6855325004788239621,6
6844466087757614341,5
6842701519394049285,6
6855850716796308741,3
6856110029821578502,1
6852441442137246982,1
6841162398708075782,11
6842814177807977733,9
6857355946386017542,2
6857057045284195589,6
6890611415422487813,1
6859193609359592710,1
6862350300171308294,1
6840253811571854597,8
6858598903101541637,1
6860453696602410246,4
6852638686320889093,7
6859459631392247046,1
6859473222153407750,1
6862038058313796869,2
6856914689289358598,5
6861353197240470790,1
6863258603462200582,1
6842015734940421382,1
6870870729387265286,5
6866661804131536134,7
6858725905154592006,6
6866184147849841925,9
6851302934827977989,4
6855276029641002246,3
6857171791773797637,4
6841338084685073669,5
6860311765398441222,1
6867245801710603526,1
6859082690541391110,11
6856076955230424325,1
6866081870967246086,1
6862725402540920069,1
6864431983498644741,1
6858682386985618693,1
6866553550688800005,5
6840235435088678150,6
6860633563998588165,13
6839828963448114437,5
6839926052161096965,13
6868075447813426438,1
6873131754669001989,8
6850993948148731141,1
6860690159092976902,2
6859453100772658438,5
6867143866185714949,1
6858631454826532101,9
6857482397215132933,1
6872871673989811461,1
6878460404180323589,1
6866275831782575366,1
6855872513302433029,3
6864775701162200325,5
6838644382510370053,5
6864597167298989317,4
6861287709890137350,1
6855894911674387718,2
6841240504819010822,1
6860910175088381190,1
6862074505905343749,5
6864104383752293638,6
6864366946763214086,1
6862210403502542085,6
6860448028726168837,3
6857961509029547269,2
6856607075330460934,9
6861414977794788614,8
6860536645045718277,1
6858710746700745990,6
6844875652567420166,1
6854673365769243909,3
6863218081439796485,1
6862464722311105798,9
6858656749373689094,1
6859208360349207813,1
6862592458480569605,8
6849018515417091334,11
6861343386595593477,3
6866574239697210629,5
6862022643743296774,7
6866051515241581830,9
6853105359620541701,1
6858760312070393094,6
6863212658020175110,1
6859829038169607430,1
6839796787935481093,1
6839677905312746757,2
6860344665854561541,1
6860275173770153222,10
6860988923238223110,1
6864215917564382469,1
6858770764921834757,2
6862119571948702981,5
6859362560861326598,1
6856828574255631622,2
6865015469129108742,7
6858399197238988037,7
6855315042800291078,5
6841976675878604038,5
6855305218087800069,1
6856782725395811589,1
6851054705775316229,8
6842015735020096774,6
6851032534944337158,12
6840650743557508357,1
6876679041898777861,7
6848429853658713350,6
6866484095870831877,1
6860315307521608965,9
6859209481520286981,3
6862790691949399301,8
6860381216248515846,6
6868142447776550150,12
6860508574683106565,6
6862783136590318854,3
6873118513804905734,1
6859712885275348229,1
6842337090391346437,2
6859213705188576518,1
6856703288960634117,1
6861024357938924805,3
6846243369149074693,5
6860335936836799750,3
6870699115278339334,4
6859780209302916358,1
6864827293018213638,6
6864818364909440262,2
6840969785300290822,1
6874056278117764357,6
6863118543131561221,1
6880497888854592774,10
6864957562505170182,1
6855432241783262470,10
6866261180751564038,1
6840846780725300485,1
6842747384074718470,1
6860316771224718597,3
6851757921294945541,5
6859359313748593925,2
6861383127890169093,1
6856406444661542149,7
6844156313728077061,2
6863137165677743366,1
6860932156689091846,5
6855545974262091013,9
6855587885530238214,5
6849037375952129286,4
6867269189061659910,1
6890985514053274885,7
6869586051334147334,6
6860464261987060998,6
6874552494383484162,7
6861055675070565638,5
6866417373251996934,6
6863272311429074181,7
6861001117233319173,1
6858865407730715910,3
6860551951575158022,5
6855881929217051910,1
6842726230278556933,2
6862024064718933254,1
6856208950820392198,1
6870984312129457413,5
6859050099776048390,1
6851928033121602822,1
6869589657017945350,2
6861749858592738565,4
6870921387847027974,1
6864889142141046022,1
6860884276238421254,4
6856963155558403333,2
6872892051340397830,6
6856350876672560390,6
6852439972830579974,1
6844548877530483974,2
6839792276781255941,1
6858806019607268613,1
6857261104024931589,7
6858870172627848453,6
6855365043404524805,1
6865093505556008197,1
6864441582817529093,4
6862104242895817990,1
6841674506134768902,1
6847646979523120390,1
6842443867703217414,1
6856117078479392006,1
6863962925187534085,1
6852143664496381190,1
6890707234485996806,1
6860608097409371397,1
6860159163025149189,1
6865383655460719878,1
6863117337898355974,6
6861675732431539462,1
6861362388537543942,5
6859819835900267781,1
6842891250748673286,4
6841193036605656325,2
6866087836915911942,2
6860023070674013446,8
6856459130429885701,1
6890686533364370693,3
6862777514343828742,12
6861979704287579398,1
6859011210008956166,1
6866027241084685574,9
6865049847003614470,3
6858762316733877510,1
6890443785415806213,2
6864261478170627333,1
6859480731907886342,1
6868734015696866566,10
6858681347809135878,1
6859395975744589061,1
6858408866711964934,2
6862324672902466822,4
6849128841068236037,8
6865152765606284550,9
6863229857120161030,1
6859947872784321798,1
6865883266285604102,2
6860346866035395845,1
6850920778058321158,1
6847565173138590982,1
6890390596121283845,1
6866221672756759814,3
6863484126536748293,4
6855537121881525509,8
6860629043960728837,3
6869815068800863493,9
6873258682814106886,1
6864189369893326085,1
6860469917645376774,2
6856939285464091910,1
6856570181322296582,3
6862364031223696646,5
6844219422970891525,5
6866933693089402117,6
6863311044371123462,6
6842675380386532614,9
6861866903481191685,3
6860584561034759430,3
6859793964476779781,3
6852846515883379974,4
6864346652719828229,5
6860857111417507078,4
6863166402585693445,6
6856120496375745798,1
6870872683710532869,1
6866985416466107654,5
6862093974744681734,1
6862048689259580677,2
6860612718865517830,1
6855315934882630917,1
6890990581162560773,1
6871974240996969733,1
6850995502121504005,6
6860991624546094342,1
6860169201978477830,1
6858601504610258182,1
6856130469185080581,1
6874059013328325893,2
6863113754201066757,6
6861369851869547781,3
6864501580272536838,3
6863224839478545670,1
6856759929022205190,1
6864351181930532101,3
6864063117274533125,7
6850545621875674374,2
6890643924076088582,1
6868247148950031622,1
6864562746806045957,2
6864451873441582341,5
6861964711114591494,2
6860581264274050310,3
6890668649179401477,1
6874492895680859398,1
6865108543247338758,2
6864333622820752646,6
6862752515411250438,4
6855388441610325254,7
6866533224202521861,1
6863083054060064005,1
6857267634568711429,1
6868887270594858246,4
6854704277575748869,5
6862567297047973126,5
6854721192843119877,4
6863252538678889733,1
6861930068797689093,7
6861563931035503878,1
6858788879479180550,3
6858531007763631365,1
6868209811478154501,9
6860587721954561286,2
6859453270545419525,1
6856060039317261573,1
6855354874092096773,4
6883684527735049477,2
6866083586592738565,5
6856602758582144261,1
6840634787422670086,4
6840236632390552837,11
6839826795836034310,3
6862348523254467845,2
6859789413778459910,3
6851688062745955589,11
6873118923135421702,6
6860526924419140869,2
6873855319815048454,3
6868833974949580037,3
6859896448373296390,2
6859477752207199494,1
6858013647839513862,1
6851312216751262982,1
6840815330131004677,1
6867278860761795845,1
6860952224797854981,1
6860905311532846342,3
6866669140497779974,1
6861008384640994566,1
6859365081583553797,6
6857287368077020422,1
6855778971485785349,5
6851062196072353029,1
6842391638430452997,6
6864236565242137862,3
6862486236284685574,8
6857206172596915461,1
6840112842746662150,6
6890216701825207557,6
6863602962875403525,7
6862859759796751621,1
6860581345089965317,1
6858817091701640453,4
6890701744628567301,3
6864657066607283461,1
6861618742359575813,9
6857203846297554182,1
6856218478647545094,1
6854023954043112709,2
6844319953412312326,1
6842352059770064134,6
6840332507473333509,10
6864578885942660358,5
6861486250306686214,1
6857346577892265221,2
6840353141137919238,10
6871661587980242182,1
6863636788053904646,1
6863495308752456965,2
6864658235123617029,1
6863199002419088646,1
6861725308198948102,1
6859978312282934534,7
6859806114192608518,1
6857590952647789829,5
6874068867073805573,6
6867939850415312134,1
6862797273278074117,3
6862013671170739461,1
6861705010930060550,2
6860355052465294597,6
6860320726218706181,1
6858924906235710725,6
6857257742743211269,2
6868989421811748102,2
6865538357083114757,1
6862325874969120005,1
6859410189095849221,1
6840785322939272453,3
6839893384941817094,4
6872892245448592645,1
